Country,Freedom,GDP.per.capita,Generosity,Happiness.Rank,Happiness.Score,Life.Expectancy,Social.Support,Trust.Goverment.Corruption,Year
Denmark,0.5794100000000001,1.4417799999999998,0.36171,1,7.526,0.79504,1.16374,0.44453000000000004,2016
Switzerland,0.58557,1.5273299999999999,0.28083,2,7.5089999999999995,0.86303,1.14524,0.41203,2016
Iceland,0.56624,1.42666,0.47678000000000004,3,7.501,0.8673299999999999,1.18326,0.14975,2016
Norway,0.59609,1.57744,0.37895,4,7.497999999999999,0.79579,1.1269,0.35775999999999997,2016
Finland,0.57104,1.40598,0.25492,5,7.412999999999999,0.81091,1.1346399999999999,0.41003999999999996,2016
Canada,0.5737,1.44015,0.44833999999999996,6,7.404,0.8276,1.0961,0.31329,2016
Netherlands,0.55211,1.46468,0.47416,7,7.3389999999999995,0.8123100000000001,1.02912,0.29927,2016
New Zealand,0.5814699999999999,1.36066,0.49401000000000006,8,7.334,0.83096,1.17278,0.41903999999999997,2016
Australia,0.5683699999999999,1.4444299999999999,0.47407,9,7.313,0.8512,1.10476,0.32331,2016
Sweden,0.58218,1.45181,0.38254,10,7.291,0.83121,1.08764,0.40867,2016
Israel,0.36432,1.33766,0.32288,11,7.267,0.8491700000000001,0.9953700000000001,0.08728,2016
Austria,0.54355,1.45038,0.32865,12,7.119,0.80565,1.0838299999999998,0.21348000000000003,2016
United States,0.48163,1.50796,0.41076999999999997,13,7.104,0.779,1.04782,0.14868,2016
Costa Rica,0.55225,1.06879,0.22553,14,7.087000000000001,0.76146,1.02152,0.10547000000000001,2016
Puerto Rico,0.46823000000000004,1.35943,0.22202,15,7.039,0.77758,1.08113,0.12275,2016
Germany,0.53466,1.44787,0.30451999999999996,16,6.994,0.81487,1.09774,0.28551,2016
Brazil,0.40425,1.08754,0.15775999999999998,17,6.952000000000001,0.61415,1.03938,0.14165999999999998,2016
Belgium,0.51354,1.42539,0.2424,18,6.928999999999999,0.8195899999999999,1.05249,0.26248,2016
Ireland,0.54008,1.4834100000000001,0.44963000000000003,19,6.907,0.81455,1.16157,0.29754,2016
Luxembourg,0.5487,1.6975200000000001,0.27571,20,6.871,0.8454200000000001,1.03999,0.35329,2016
Mexico,0.37709000000000004,1.1150799999999998,0.11735,21,6.778,0.71143,0.7146,0.18355,2016
Singapore,0.4877,1.64555,0.32706,22,6.739,0.94719,0.8675799999999999,0.46986999999999995,2016
United Kingdom,0.50036,1.40283,0.50156,23,6.725,0.80991,1.0867200000000001,0.27399,2016
Chile,0.37789,1.2167,0.31595,24,6.705,0.8188300000000001,0.9058700000000001,0.11450999999999999,2016
Panama,0.48927,1.18306,0.2418,25,6.7010000000000005,0.70835,0.9891200000000001,0.08423,2016
Argentina,0.42283999999999994,1.15137,0.10989000000000002,26,6.65,0.69711,1.0661200000000002,0.07296,2016
Czech Republic,0.41418,1.30915,0.09929,27,6.596,0.76376,1.00793,0.03986,2016
United Arab Emirates,0.56215,1.57352,0.26591,28,6.5729999999999995,0.72993,0.8711399999999999,0.35561,2016
Uruguay,0.54388,1.18157,0.18056,29,6.545,0.72183,1.0314299999999998,0.21394000000000002,2016
Malta,0.54994,1.30782,0.56237,30,6.4879999999999995,0.80315,1.09879,0.17554,2016
Colombia,0.44735,1.0303200000000001,0.15625999999999998,31,6.481,0.59659,1.02169,0.053989999999999996,2016
France,0.46562,1.39488,0.1216,32,6.478,0.83795,1.00508,0.17808,2016
Thailand,0.49553,1.0893,0.58696,33,6.474,0.64915,1.04477,0.02833,2016
Saudi Arabia,0.37904,1.48953,0.15457,34,6.379,0.59267,0.84829,0.30008,2016
Taiwan,0.32377,1.39729,0.25495,34,6.379,0.79565,0.92624,0.0663,2016
Qatar,0.56679,1.82427,0.32388,36,6.375,0.71723,0.87964,0.48049,2016
Spain,0.37545,1.34253,0.17665,37,6.361000000000001,0.8789600000000001,1.12945,0.06137000000000001,2016
Algeria,0.21006,1.05266,0.07044,38,6.355,0.6180399999999999,0.83309,0.16157,2016
Guatemala,0.50379,0.83454,0.28808,39,6.324,0.5403899999999999,0.8711899999999999,0.08701,2016
Suriname,0.5223399999999999,1.09686,0.16665,40,6.269,0.5093300000000001,0.77866,0.12692,2016
Kuwait,0.43166000000000004,1.61714,0.15965,41,6.239,0.63569,0.8775799999999999,0.23669,2016
Bahrain,0.47375,1.44024,0.17147,42,6.218,0.65696,0.9439700000000001,0.25772,2016
Trinidad and Tobago,0.48453,1.32572,0.31935,43,6.167999999999999,0.52608,0.98569,0.01241,2016
Venezuela,0.19847,1.1336700000000002,0.0425,44,6.084,0.6190399999999999,1.03302,0.08304,2016
Slovakia,0.23390999999999998,1.27973,0.13837,45,6.077999999999999,0.70367,1.0826799999999999,0.02947,2016
El Salvador,0.37269,0.8737,0.08877,46,6.068,0.596,0.80975,0.10613,2016
Malaysia,0.39031,1.25142,0.41473999999999994,47,6.005,0.62366,0.88025,0.09081,2016
Nicaragua,0.46581999999999996,0.69384,0.29773,48,5.992000000000001,0.65213,0.8952100000000001,0.16292,2016
Uzbekistan,0.60848,0.7359100000000001,0.34326,49,5.987,0.50163,1.1681,0.28333,2016
Italy,0.18827,1.35495,0.16684000000000002,50,5.977,0.8510200000000001,1.04167,0.02556,2016
Ecuador,0.4027,0.97306,0.10074,51,5.976,0.68613,0.85974,0.18037,2016
Belize,0.51231,0.87616,0.23684000000000002,52,5.956,0.45569,0.68655,0.10770999999999999,2016
Japan,0.46761,1.3800700000000001,0.10224,53,5.921,0.91491,1.06054,0.18985,2016
Kazakhstan,0.4052,1.22943,0.15011,54,5.919,0.57386,0.95544,0.11132,2016
Moldova,0.25201999999999997,0.69177,0.19997,55,5.897,0.5230899999999999,0.8313200000000001,0.019030000000000002,2016
Russia,0.32682,1.2322799999999998,0.027360000000000002,56,5.856,0.58991,1.05261,0.03586,2016
Poland,0.4519,1.24585,0.14443,57,5.835,0.69058,1.04685,0.055,2016
South Korea,0.25168,1.35948,0.18824000000000002,57,5.835,0.88645,0.7219399999999999,0.07716,2016
Bolivia,0.50961,0.79422,0.21698,59,5.822,0.4697,0.8377899999999999,0.07746,2016
Lithuania,0.18929,1.2692,0.02025,60,5.813,0.64674,1.0641100000000001,0.0182,2016
Belarus,0.29091,1.1306200000000002,0.13942000000000002,61,5.8020000000000005,0.6310399999999999,1.04993,0.17457,2016
North Cyprus,0.43596,1.31141,0.26322,62,5.771,0.8414200000000001,0.81826,0.16577999999999998,2016
Slovenia,0.53164,1.2994700000000001,0.25738,63,5.768,0.79151,1.05613,0.03635,2016
Peru,0.37501999999999996,0.9960200000000001,0.14527,64,5.742999999999999,0.6299399999999999,0.81255,0.05292,2016
Turkmenistan,0.37408,1.08017,0.22566999999999998,65,5.6579999999999995,0.44006000000000006,1.03817,0.28467,2016
Mauritius,0.46145,1.14372,0.36951,66,5.648,0.66189,0.75695,0.05202999999999999,2016
Libya,0.40671999999999997,1.0668799999999998,0.17087,67,5.615,0.52304,0.95076,0.10339000000000001,2016
Latvia,0.27996,1.2178799999999999,0.17445,68,5.56,0.63952,0.95025,0.0889,2016
Cyprus,0.29507,1.31857,0.27906,69,5.546,0.8488,0.70697,0.05227999999999999,2016
Paraguay,0.46235,0.8937299999999999,0.25296,70,5.537999999999999,0.58295,1.11111,0.07396,2016
Romania,0.36712,1.1697,0.12889,71,5.528,0.67602,0.7280300000000001,0.006790000000000001,2016
Estonia,0.41511000000000003,1.2796399999999999,0.08423,72,5.517,0.68098,1.0516299999999998,0.18519000000000002,2016
Jamaica,0.43596999999999997,0.89333,0.22245,73,5.51,0.5946899999999999,0.96372,0.04294,2016
Croatia,0.23906999999999998,1.18649,0.18434,74,5.4879999999999995,0.70524,0.6080899999999999,0.04002,2016
Hong Kong,0.48078999999999994,1.5107,0.40097,75,5.457999999999999,0.9527700000000001,0.87021,0.31647,2016
Somalia,0.5677800000000001,0.0,0.27225,76,5.44,0.11465999999999998,0.33613000000000004,0.3118,2016
Kosovo,0.14396,0.90145,0.27992,77,5.401,0.54,0.66062,0.06547,2016
Turkey,0.23889000000000002,1.1649200000000002,0.04707,78,5.388999999999999,0.64718,0.8771700000000001,0.12347999999999999,2016
Indonesia,0.39237,0.95104,0.56521,79,5.314,0.49373999999999996,0.87625,0.00322,2016
Jordan,0.36023,0.9967299999999999,0.14262,80,5.303,0.60712,0.86216,0.13297,2016
Azerbaijan,0.35327,1.12373,0.0564,81,5.291,0.54504,0.76042,0.17914000000000002,2016
Philippines,0.5485399999999999,0.81217,0.21674000000000002,82,5.279,0.47036000000000006,0.87877,0.11757000000000001,2016
China,0.44011999999999996,1.0278,0.049589999999999995,83,5.245,0.73561,0.79381,0.02745,2016
Bhutan,0.46074,0.8527,0.48546000000000006,84,5.196000000000001,0.49759,0.9083600000000001,0.1616,2016
Kyrgyzstan,0.40212,0.5604399999999999,0.38432,85,5.185,0.5544899999999999,0.95434,0.047619999999999996,2016
Serbia,0.15718,1.03437,0.20736999999999997,86,5.1770000000000005,0.6458,0.81329,0.04339,2016
Bosnia and Herzegovina,0.09511,0.9338299999999999,0.29889,87,5.162999999999999,0.7076600000000001,0.64367,0.0,2016
Montenegro,0.15111,1.07838,0.17190999999999998,88,5.1610000000000005,0.6353300000000001,0.74173,0.12721,2016
Dominican Republic,0.52259,1.02787,0.21286,89,5.155,0.5766899999999999,0.9949600000000001,0.12372000000000001,2016
Morocco,0.25645999999999997,0.8405799999999999,0.040530000000000004,90,5.151,0.5947100000000001,0.38595,0.08404,2016
Hungary,0.1977,1.24142,0.099,91,5.145,0.67608,0.9316399999999999,0.044719999999999996,2016
Pakistan,0.14622000000000002,0.68816,0.31185,92,5.132000000000001,0.40306,0.26135,0.1388,2016
Lebanon,0.26228,1.12268,0.23693000000000003,93,5.129,0.76171,0.64184,0.030610000000000002,2016
Portugal,0.44727,1.27607,0.11690999999999999,94,5.122999999999999,0.7936300000000001,0.9436700000000001,0.01521,2016
Macedonia,0.27668000000000004,1.0193,0.23506999999999997,95,5.121,0.6473800000000001,0.78236,0.07047,2016
Vietnam,0.5595399999999999,0.74037,0.25075,96,5.061,0.66157,0.7911699999999999,0.11556,2016
Somaliland Region,0.3913,0.25558000000000003,0.51479,97,5.0569999999999995,0.33108000000000004,0.75862,0.36794,2016
Tunisia,0.23553000000000002,0.97724,0.03936,98,5.045,0.59577,0.43165,0.0817,2016
Greece,0.05822000000000001,1.24886,0.0,99,5.033,0.80029,0.75473,0.04127,2016
Tajikistan,0.43408,0.48835,0.25998000000000004,100,4.996,0.5311899999999999,0.75602,0.13509000000000002,2016
Mongolia,0.35972,0.9885299999999999,0.34539000000000003,101,4.907,0.55469,1.0898299999999999,0.03285,2016
Laos,0.52168,0.68042,0.43078999999999995,102,4.876,0.38291,0.5497,0.22423,2016
Nigeria,0.27854,0.75216,0.23219,103,4.875,0.05108,0.64498,0.0305,2016
Honduras,0.26755,0.69429,0.2044,104,4.871,0.5838300000000001,0.7559600000000001,0.06906,2016
Iran,0.22544,1.11758,0.38538,105,4.813,0.64232,0.38856999999999997,0.0557,2016
Zambia,0.42662,0.61202,0.17865999999999999,106,4.795,0.23573000000000002,0.6376,0.11479,2016
Nepal,0.37012,0.44626000000000005,0.3816,107,4.793,0.50073,0.69699,0.07007999999999999,2016
Palestinian Territories,0.17744000000000001,0.67024,0.11154000000000001,108,4.754,0.56844,0.71629,0.10613,2016
Albania,0.31866,0.9553,0.1684,109,4.655,0.73007,0.50163,0.05301,2016
Bangladesh,0.39778,0.54177,0.19132000000000002,110,4.643,0.52989,0.24749000000000002,0.12583,2016
Sierra Leone,0.30685,0.36485,0.23897,111,4.635,0.0,0.628,0.08196,2016
Iraq,0.24856,1.07474,0.19589,112,4.575,0.51076,0.59205,0.13635999999999998,2016
Namibia,0.48613999999999996,0.9328700000000001,0.07795,113,4.574,0.34745,0.70362,0.10397999999999999,2016
Cameroon,0.42736,0.5249699999999999,0.2268,114,4.513,0.12697999999999998,0.62542,0.06126,2016
Ethiopia,0.36703,0.29283000000000003,0.29522,115,4.508,0.34578000000000003,0.37932,0.1717,2016
South Africa,0.42483000000000004,1.02416,0.13656,116,4.459,0.18611,0.9605299999999999,0.08415,2016
Sri Lanka,0.50817,0.9731799999999999,0.46978000000000003,117,4.415,0.62007,0.84783,0.07964,2016
India,0.40285,0.74036,0.25028,118,4.404,0.45091000000000003,0.29247,0.08722,2016
Myanmar,0.42691999999999997,0.34112,0.81971,119,4.395,0.3988,0.69981,0.20243,2016
Egypt,0.18847,0.95395,0.12705999999999998,120,4.362,0.5211600000000001,0.49813,0.10393,2016
Armenia,0.14037,0.8608600000000001,0.07793,121,4.36,0.64083,0.6247699999999999,0.036160000000000005,2016
Kenya,0.40576,0.52267,0.41328000000000004,122,4.356,0.30146999999999996,0.7624,0.06686,2016
Ukraine,0.12859,0.87287,0.20363,123,4.324,0.58628,1.01413,0.01829,2016
Ghana,0.40973000000000004,0.63107,0.21203000000000002,124,4.276,0.29681,0.49353,0.0326,2016
Congo (Kinshasa),0.15602,0.05661,0.25458000000000003,125,4.272,0.188,0.80676,0.06075,2016
Georgia,0.32461,0.8379200000000001,0.06786,126,4.252,0.64035,0.19249000000000002,0.3188,2016
Congo (Brazzaville),0.37938,0.7710899999999999,0.12077,127,4.236000000000001,0.28212,0.47798999999999997,0.09752999999999999,2016
Senegal,0.31056,0.44314,0.19103,128,4.218999999999999,0.40457,0.7741600000000001,0.11681,2016
Bulgaria,0.21219000000000002,1.11306,0.12793,129,4.217,0.67806,0.92542,0.00615,2016
Mauritania,0.1268,0.6139100000000001,0.22685999999999998,130,4.2010000000000005,0.28639000000000003,0.8414200000000001,0.17955,2016
Zimbabwe,0.25429,0.35041,0.18503,131,4.1930000000000005,0.1595,0.71478,0.08582000000000001,2016
Malawi,0.4143,0.08709,0.30968,132,4.156000000000001,0.29364,0.147,0.07564,2016
Sudan,0.0,0.63069,0.18077000000000001,133,4.138999999999999,0.29759,0.8192799999999999,0.10039,2016
Gabon,0.28098,1.15851,0.062439999999999996,134,4.121,0.3494,0.72368,0.09314,2016
Mali,0.27544,0.31292,0.21064000000000002,135,4.073,0.16347,0.8633299999999999,0.13647,2016
Haiti,0.12072000000000001,0.34097,0.47958,136,4.0280000000000005,0.27494,0.29561,0.14476,2016
Botswana,0.44088999999999995,1.09426,0.12425,137,3.9739999999999998,0.34752,0.89186,0.10769000000000001,2016
Comoros,0.15412,0.27509,0.1827,138,3.9560000000000004,0.29980999999999997,0.60323,0.18437,2016
Ivory Coast,0.40663,0.55507,0.20338,139,3.9160000000000004,0.04476,0.57576,0.1553,2016
Cambodia,0.5885199999999999,0.55604,0.40339,140,3.907,0.42494,0.5375,0.08092,2016
Angola,0.00589,0.84731,0.12070999999999998,141,3.866,0.04991,0.66366,0.08434,2016
Niger,0.38040999999999997,0.1327,0.2097,142,3.8560000000000003,0.26161999999999996,0.6053,0.17176,2016
South Sudan,0.19662000000000002,0.39394,0.25899,143,3.832,0.15780999999999998,0.18519000000000002,0.13015,2016
Chad,0.12807000000000002,0.42213999999999996,0.18667,144,3.763,0.038239999999999996,0.63178,0.04952,2016
Burkina Faso,0.3337,0.31995,0.24353000000000002,145,3.739,0.21297,0.63054,0.12533,2016
Uganda,0.43653000000000003,0.34719,0.27102,145,3.739,0.19625,0.90981,0.06442,2016
Yemen,0.2287,0.57939,0.09821,147,3.7239999999999998,0.31048000000000003,0.47493,0.05892000000000001,2016
Madagascar,0.13684000000000002,0.27954,0.2204,148,3.695,0.37109000000000003,0.46115,0.07506,2016
Tanzania,0.3176,0.47155,0.31472,149,3.6660000000000004,0.35700000000000004,0.77623,0.05099,2016
Liberia,0.25748000000000004,0.10705999999999999,0.24063,150,3.622,0.23165,0.50353,0.04852,2016
Guinea,0.30953,0.22415,0.29914,151,3.6069999999999998,0.18829,0.3109,0.1192,2016
Rwanda,0.5432,0.32846,0.23551999999999998,152,3.515,0.31865,0.6158600000000001,0.50521,2016
Benin,0.39747,0.39499,0.2018,153,3.484,0.21028000000000002,0.10419,0.06681000000000001,2016
Afghanistan,0.1643,0.38227,0.31268,154,3.36,0.17344,0.11037000000000001,0.07112,2016
Togo,0.34678000000000003,0.28123000000000004,0.17517,155,3.303,0.24811,0.0,0.11587,2016
Syria,0.06912,0.7471899999999999,0.48396999999999996,156,3.069,0.6299399999999999,0.14866,0.17232999999999998,2016
Burundi,0.0432,0.06831,0.2029,157,2.905,0.15747,0.23442,0.09419,2016
Norway,0.635422587394714,1.6164631843566901,0.36201223731041,1,7.537000179290769,0.796666502952576,1.53352355957031,0.31596383452415505,2017
Denmark,0.626006722450256,1.48238301277161,0.3552804887294771,2,7.52199983596802,0.7925655245780941,1.55112159252167,0.40077006816863997,2017
Iceland,0.6271626353263849,1.480633020401,0.47554022073745705,3,7.50400018692017,0.8335521221160892,1.6105740070343,0.15352655947208402,2017
Switzerland,0.620070576667786,1.5649795532226598,0.29054927825927696,4,7.49399995803833,0.858131289482117,1.51691174507141,0.36700728535652205,2017
Finland,0.6179508566856379,1.44357192516327,0.24548277258873,5,7.468999862670901,0.80915766954422,1.5402467250824,0.38261154294014,2017
Netherlands,0.5853844881057739,1.50394463539124,0.47048982977867104,6,7.3769998550415,0.8106961250305179,1.42893922328949,0.282661825418472,2017
Canada,0.611100912094116,1.47920441627502,0.435539722442627,7,7.31599998474121,0.83455765247345,1.48134899139404,0.287371516227722,2017
